,PM2.5(µg/m3),PM10_mask,Temp(C),WindDir,Wind Speed(km/h)
2016-03-03 15:00:00,62.9,1.0,34.1,70,12
2016-03-03 16:00:00,62.9,1.0,34.6,60,12
2016-03-03 17:00:00,55.5,1.0,34.6,60,12
2016-03-03 18:00:00,55.5,1.0,34.6,60,12
2016-03-03 19:00:00,47.9,1.0,29.1,70,11
2016-03-03 20:00:00,43.6,1.0,29.1,70,11
2016-03-03 21:00:00,28.6,1.0,29.1,70,11
2016-03-03 22:00:00,33.6,1.0,27.3,70,15
2016-03-03 23:00:00,34.8,1.0,27.3,70,15
2016-03-04 00:00:00,31.3,1.0,27.3,70,15
2016-03-04 01:00:00,36.7,1.0,26.5,95,13
2016-03-04 02:00:00,42.1,1.0,26.5,95,13
2016-03-04 03:00:00,38.6,1.0,26.5,95,13
2016-03-04 04:00:00,45.5,1.0,25.8,115,11
2016-03-04 05:00:00,49.9,1.0,25.8,115,11
2016-03-04 06:00:00,44.1,1.0,25.8,115,11
2016-03-04 07:00:00,42.1,1.0,26.1,95,12
2016-03-04 08:00:00,43.1,1.0,26.1,95,12
2016-03-04 09:00:00,44.8,1.0,26.1,95,12
2016-03-04 10:00:00,37.5,1.0,30.7,105,13
2016-03-04 11:00:00,39.6,1.0,30.7,105,13
2016-03-04 12:00:00,46.0,1.0,30.7,105,13
2016-03-04 13:00:00,43.8,1.0,32.9,115,10
2016-03-04 14:00:00,36.6,1.0,32.9,115,10
2016-03-04 15:00:00,34.2,1.0,32.9,115,10
2016-03-04 16:00:00,35.0,1.0,33.2,90,7
2016-03-04 17:00:00,30.0,1.0,33.2,90,7
2016-03-04 18:00:00,25.6,1.0,33.2,90,7
2016-03-04 19:00:00,32.1,1.0,28.3,75,13
2016-03-04 20:00:00,24.4,1.0,28.3,75,13
2016-03-04 21:00:00,32.8,1.0,28.3,75,13
2016-03-04 22:00:00,32.9,1.0,27.6,90,14
2016-03-04 23:00:00,30.7,1.0,27.6,90,14
2016-03-05 00:00:00,29.2,1.0,27.6,90,14
2016-03-05 01:00:00,28.1,1.0,26.9,110,13
2016-03-05 02:00:00,33.3,1.0,26.9,110,13
2016-03-05 03:00:00,33.3,1.0,26.9,110,13
2016-03-05 04:00:00,33.3,1.0,26.3,130,10
2016-03-05 05:00:00,33.3,1.0,26.3,130,10
2016-03-05 06:00:00,33.3,1.0,26.3,130,10
2016-03-05 07:00:00,33.3,1.0,26.6,145,17
2016-03-05 08:00:00,33.3,1.0,26.6,145,17
2016-03-05 09:00:00,33.3,1.0,26.6,145,17
2016-03-05 10:00:00,33.3,1.0,31.4,140,16
2016-03-05 11:00:00,33.3,1.0,31.4,140,16
2016-03-05 12:00:00,33.3,1.0,31.4,140,16
2016-03-05 13:00:00,33.3,1.0,32.7,130,16
2016-03-05 14:00:00,33.3,1.0,32.7,130,16
2016-03-05 15:00:00,33.3,1.0,32.7,130,16
2016-03-05 16:00:00,33.3,1.0,32.7,125,13
2016-03-05 17:00:00,33.3,1.0,32.7,125,13
2016-03-05 18:00:00,33.3,1.0,32.7,125,13
2016-03-05 19:00:00,33.3,1.0,28.5,120,16
2016-03-05 20:00:00,33.3,1.0,28.5,120,16
2016-03-05 21:00:00,33.3,1.0,28.5,120,16
2016-03-05 22:00:00,33.3,1.0,27.9,130,14
2016-03-05 23:00:00,33.3,1.0,27.9,130,14
2016-03-06 00:00:00,33.8,1.0,27.9,130,14
2016-03-06 01:00:00,20.0,1.0,27.2,110,7
2016-03-06 02:00:00,24.3,1.0,27.2,110,7
2016-03-06 03:00:00,26.3,1.0,27.2,110,7
2016-03-06 04:00:00,25.9,1.0,26.6,110,7
2016-03-06 05:00:00,25.5,1.0,26.6,110,7
2016-03-06 06:00:00,28.9,1.0,26.6,110,7
2016-03-06 07:00:00,24.0,1.0,26.9,125,10
2016-03-06 08:00:00,24.1,1.0,26.9,125,10
2016-03-06 09:00:00,25.2,1.0,26.9,125,10
2016-03-06 10:00:00,23.8,1.0,31.7,120,11
2016-03-06 11:00:00,27.1,1.0,31.7,120,11
2016-03-06 12:00:00,41.9,1.0,31.7,120,11
2016-03-06 13:00:00,41.0,1.0,33.3,130,16
2016-03-06 14:00:00,39.5,1.0,33.3,130,16
2016-03-06 15:00:00,35.3,1.0,33.3,130,16
2016-03-06 16:00:00,34.1,1.0,33.1,140,12
2016-03-06 17:00:00,30.9,1.0,33.1,140,12
2016-03-06 18:00:00,27.6,1.0,33.1,140,12
2016-03-06 19:00:00,26.7,1.0,29.2,155,16
2016-03-06 20:00:00,28.2,1.0,29.2,155,16
2016-03-06 21:00:00,27.0,1.0,29.2,155,16
2016-03-06 22:00:00,27.5,1.0,28.2,155,13
2016-03-06 23:00:00,27.2,1.0,28.2,155,13
2016-03-07 00:00:00,26.8,1.0,28.2,155,13
2016-03-07 01:00:00,30.1,1.0,27.4,170,12
2016-03-07 02:00:00,28.3,1.0,27.4,170,12
2016-03-07 03:00:00,26.0,1.0,27.4,170,12
2016-03-07 04:00:00,32.4,1.0,26.8,175,13
2016-03-07 05:00:00,32.8,1.0,26.8,175,13
2016-03-07 06:00:00,24.8,1.0,26.8,175,13
2016-03-07 07:00:00,31.3,1.0,27.2,190,15
2016-03-07 08:00:00,30.0,1.0,27.2,190,15
2016-03-07 09:00:00,26.8,1.0,27.2,190,15
2016-03-07 10:00:00,24.9,1.0,32.0,180,13
2016-03-07 11:00:00,32.5,1.0,32.0,180,13
2016-03-07 12:00:00,34.4,1.0,32.0,180,13
2016-03-07 13:00:00,37.3,1.0,33.9,175,9
2016-03-07 14:00:00,36.5,1.0,33.9,175,9
2016-03-07 15:00:00,36.8,1.0,33.9,175,9
2016-03-07 16:00:00,30.9,1.0,33.9,185,8
2016-03-07 17:00:00,29.0,1.0,33.9,185,8
2016-03-07 18:00:00,28.6,1.0,33.9,185,8
2016-03-07 19:00:00,27.6,1.0,28.7,205,6
2016-03-07 20:00:00,26.0,1.0,28.7,205,6
2016-03-07 21:00:00,26.2,1.0,28.7,205,6
2016-03-07 22:00:00,25.5,1.0,28.0,225,6
2016-03-07 23:00:00,26.1,1.0,28.0,225,6
2016-03-08 00:00:00,26.2,1.0,28.0,225,6
2016-03-08 01:00:00,28.5,1.0,27.7,210,13
2016-03-08 02:00:00,27.3,1.0,27.7,210,13
2016-03-08 03:00:00,30.2,1.0,27.7,210,13
2016-03-08 04:00:00,30.2,1.0,27.2,220,19
2016-03-08 05:00:00,30.9,1.0,27.2,220,19
2016-03-08 06:00:00,26.5,1.0,27.2,220,19
2016-03-08 07:00:00,26.6,1.0,27.5,225,19
2016-03-08 08:00:00,29.1,1.0,27.5,225,19
2016-03-08 09:00:00,28.0,1.0,27.5,225,19
2016-03-08 10:00:00,28.8,1.0,32.2,240,16
2016-03-08 11:00:00,29.1,1.0,32.2,240,16
2016-03-08 12:00:00,36.6,1.0,32.2,240,16
2016-03-08 13:00:00,36.5,1.0,33.8,275,12
2016-03-08 14:00:00,31.6,1.0,33.8,275,12
2016-03-08 15:00:00,28.8,1.0,33.8,275,12
2016-03-08 16:00:00,23.4,1.0,34.6,285,10
2016-03-08 17:00:00,23.0,1.0,34.6,285,10
2016-03-08 18:00:00,26.0,1.0,34.6,285,10
2016-03-08 19:00:00,24.8,1.0,29.2,290,15
2016-03-08 20:00:00,24.5,1.0,29.2,290,15
2016-03-08 21:00:00,25.5,1.0,29.2,290,15
2016-03-08 22:00:00,22.4,1.0,28.3,295,13
2016-03-08 23:00:00,21.1,1.0,28.3,295,13
2016-03-09 00:00:00,25.1,1.0,28.3,295,13
2016-03-09 01:00:00,27.3,1.0,28.0,230,18
2016-03-09 02:00:00,32.1,1.0,28.0,230,18
2016-03-09 03:00:00,29.4,1.0,28.0,230,18
2016-03-09 04:00:00,33.0,1.0,27.5,230,18
2016-03-09 05:00:00,27.9,1.0,27.5,230,18
2016-03-09 06:00:00,26.3,1.0,27.5,230,18
2016-03-09 07:00:00,23.0,1.0,27.8,260,10
2016-03-09 08:00:00,23.1,1.0,27.8,260,10
2016-03-09 09:00:00,22.8,1.0,27.8,260,10
2016-03-09 10:00:00,22.2,1.0,32.2,255,8
2016-03-09 11:00:00,28.0,1.0,32.2,255,8
2016-03-09 12:00:00,35.5,1.0,32.2,255,8
2016-03-09 13:00:00,35.5,1.0,34.6,245,9
2016-03-09 14:00:00,30.6,1.0,34.6,245,9
2016-03-09 15:00:00,29.6,1.0,34.6,245,9
2016-03-09 16:00:00,29.3,1.0,35.4,255,10
2016-03-09 17:00:00,26.8,1.0,35.4,255,10
2016-03-09 18:00:00,26.1,1.0,35.4,255,10
2016-03-09 19:00:00,24.6,1.0,29.4,270,15
2016-03-09 20:00:00,24.1,1.0,29.4,270,15
2016-03-09 21:00:00,30.0,1.0,29.4,270,15
2016-03-09 22:00:00,30.0,1.0,28.5,250,14
2016-03-09 23:00:00,31.8,1.0,28.5,250,14
2016-03-10 00:00:00,29.1,1.0,28.5,250,14
2016-03-10 01:00:00,31.8,1.0,28.2,230,18
2016-03-10 02:00:00,33.2,1.0,28.2,230,18
2016-03-10 03:00:00,34.5,1.0,28.2,230,18
2016-03-10 04:00:00,36.5,1.0,27.6,250,15
2016-03-10 05:00:00,37.3,1.0,27.6,250,15
2016-03-10 06:00:00,27.1,1.0,27.6,250,15
2016-03-10 07:00:00,32.6,1.0,27.8,270,14
2016-03-10 08:00:00,31.200000000000003,1.0,27.8,270,14
2016-03-10 09:00:00,29.8,1.0,27.8,270,14
2016-03-10 10:00:00,29.3,1.0,32.1,260,9
2016-03-10 11:00:00,26.2,1.0,32.1,260,9
2016-03-10 12:00:00,38.3,1.0,32.1,260,9
2016-03-10 13:00:00,42.6,1.0,35.0,200,9
2016-03-10 14:00:00,39.4,1.0,35.0,200,9
2016-03-10 15:00:00,30.3,1.0,35.0,200,9
2016-03-10 16:00:00,23.2,1.0,35.1,175,5
2016-03-10 17:00:00,21.3,1.0,35.1,175,5
2016-03-10 18:00:00,22.8,1.0,35.1,175,5
2016-03-10 19:00:00,21.7,1.0,29.3,215,6
2016-03-10 20:00:00,21.5,1.0,29.3,215,6
2016-03-10 21:00:00,26.5,1.0,29.3,215,6
2016-03-10 22:00:00,29.6,1.0,28.4,170,1
2016-03-10 23:00:00,28.8,1.0,28.4,170,1
2016-03-11 00:00:00,25.6,1.0,28.4,170,1
2016-03-11 01:00:00,29.6,1.0,27.5,65,0
2016-03-11 02:00:00,25.0,1.0,27.5,65,0
2016-03-11 03:00:00,26.5,1.0,27.5,65,0
2016-03-11 04:00:00,25.6,1.0,26.8,170,4
2016-03-11 05:00:00,23.7,1.0,26.8,170,4
2016-03-11 06:00:00,23.6,1.0,26.8,170,4
2016-03-11 07:00:00,22.1,1.0,27.3,160,10
2016-03-11 08:00:00,21.0,1.0,27.3,160,10
2016-03-11 09:00:00,21.0,1.0,27.3,160,10
2016-03-11 10:00:00,21.0,1.0,32.2,150,11
2016-03-11 11:00:00,21.0,1.0,32.2,150,11
2016-03-11 12:00:00,21.0,1.0,32.2,150,11
2016-03-11 13:00:00,21.0,1.0,34.6,145,15
2016-03-11 14:00:00,21.0,1.0,34.6,145,15
2016-03-11 15:00:00,21.0,1.0,34.6,145,15
2016-03-11 16:00:00,21.0,1.0,34.3,130,14
2016-03-11 17:00:00,21.0,1.0,34.3,130,14
2016-03-11 18:00:00,21.0,1.0,34.3,130,14
2016-03-11 19:00:00,21.0,1.0,29.5,155,13
2016-03-11 20:00:00,21.0,1.0,29.5,155,13
2016-03-11 21:00:00,21.0,1.0,29.5,155,13
2016-03-11 22:00:00,21.0,1.0,28.6,130,14
2016-03-11 23:00:00,21.0,1.0,28.6,130,14
2016-03-12 00:00:00,21.0,1.0,28.6,130,14
2016-03-12 01:00:00,21.0,1.0,28.0,210,13
2016-03-12 02:00:00,21.0,1.0,28.0,210,13
2016-03-12 03:00:00,21.0,1.0,28.0,210,13
2016-03-12 04:00:00,21.0,1.0,27.4,200,17
2016-03-12 05:00:00,21.0,1.0,27.4,200,17
2016-03-12 06:00:00,21.0,1.0,27.4,200,17
2016-03-12 07:00:00,21.0,1.0,28.0,200,23
2016-03-12 08:00:00,21.0,1.0,28.0,200,23
2016-03-12 09:00:00,21.0,1.0,28.0,200,23
2016-03-12 10:00:00,21.0,1.0,32.2,190,16
2016-03-12 11:00:00,21.0,1.0,32.2,190,16
2016-03-12 12:00:00,21.0,1.0,32.2,190,16
2016-03-12 13:00:00,21.0,1.0,33.1,185,11
2016-03-12 14:00:00,21.0,1.0,33.1,185,11
2016-03-12 15:00:00,21.0,1.0,33.1,185,11
2016-03-12 16:00:00,21.0,1.0,32.2,190,14
2016-03-12 17:00:00,21.0,1.0,32.2,190,14
2016-03-12 18:00:00,21.0,1.0,32.2,190,14
2016-03-12 19:00:00,21.0,1.0,28.7,215,11
2016-03-12 20:00:00,21.0,1.0,28.7,215,11
2016-03-12 21:00:00,21.0,1.0,28.7,215,11
2016-03-12 22:00:00,21.0,1.0,28.1,200,11
2016-03-12 23:00:00,21.0,1.0,28.1,200,11
2016-03-13 00:00:00,19.3,1.0,28.1,200,11
2016-03-13 01:00:00,19.7,1.0,27.6,230,18
2016-03-13 02:00:00,18.0,1.0,27.6,230,18
2016-03-13 03:00:00,16.4,1.0,27.6,230,18
2016-03-13 04:00:00,21.0,1.0,27.2,240,21
2016-03-13 05:00:00,19.9,1.0,27.2,240,21
2016-03-13 06:00:00,20.9,1.0,27.2,240,21
2016-03-13 07:00:00,20.6,1.0,27.3,250,15
2016-03-13 08:00:00,19.2,1.0,27.3,250,15
2016-03-13 09:00:00,18.549999999999997,1.0,27.3,250,15
2016-03-13 10:00:00,17.9,1.0,31.8,245,11
2016-03-13 11:00:00,27.5,1.0,31.8,245,11
2016-03-13 12:00:00,20.8,1.0,31.8,245,11
2016-03-13 13:00:00,29.0,1.0,33.6,235,13
2016-03-13 14:00:00,30.5,1.0,33.6,235,13
2016-03-13 15:00:00,30.5,1.0,33.6,235,13
2016-03-13 16:00:00,15.7,1.0,33.8,245,12
2016-03-13 17:00:00,26.5,1.0,33.8,245,12
2016-03-13 18:00:00,24.1,1.0,33.8,245,12
2016-03-13 19:00:00,20.1,1.0,29.0,255,9
2016-03-13 20:00:00,16.9,1.0,29.0,255,9
2016-03-13 21:00:00,16.3,1.0,29.0,255,9
2016-03-13 22:00:00,18.3,1.0,28.1,245,5
2016-03-13 23:00:00,17.8,1.0,28.1,245,5
2016-03-14 00:00:00,19.4,1.0,28.1,245,5
2016-03-14 01:00:00,20.3,1.0,27.4,245,10
2016-03-14 02:00:00,24.1,1.0,27.4,245,10
2016-03-14 03:00:00,15.8,1.0,27.4,245,10
2016-03-14 04:00:00,17.6,1.0,26.8,220,9
2016-03-14 05:00:00,26.5,1.0,26.8,220,9
2016-03-14 06:00:00,26.9,1.0,26.8,220,9
2016-03-14 07:00:00,27.4,1.0,27.3,180,8
2016-03-14 08:00:00,25.5,1.0,27.3,180,8
2016-03-14 09:00:00,26.2,1.0,27.3,180,8
2016-03-14 10:00:00,22.6,1.0,31.8,175,8
2016-03-14 11:00:00,25.5,1.0,31.8,175,8
2016-03-14 12:00:00,25.5,1.0,31.8,175,8
2016-03-14 13:00:00,30.5,1.0,34.1,150,9
2016-03-14 14:00:00,33.5,1.0,34.1,150,9
2016-03-14 15:00:00,30.7,1.0,34.1,150,9
2016-03-14 16:00:00,27.3,1.0,35.0,150,9
2016-03-14 17:00:00,24.0,1.0,35.0,150,9
2016-03-14 18:00:00,20.1,1.0,35.0,150,9
2016-03-14 19:00:00,24.6,1.0,28.9,190,10
2016-03-14 20:00:00,21.0,1.0,28.9,190,10
2016-03-14 21:00:00,20.3,1.0,28.9,190,10
2016-03-14 22:00:00,21.200000000000003,1.0,28.0,185,8
2016-03-14 23:00:00,22.1,1.0,28.0,185,8
2016-03-15 00:00:00,23.4,1.0,28.0,185,8
2016-03-15 01:00:00,26.6,1.0,27.2,195,9
2016-03-15 02:00:00,26.2,1.0,27.2,195,9
